,FileName,Label,ClassName
0,OF_train/handShake/handShake_0008/handShake_0008_14.jpg,0,handShake
1,OF_train/handShake/handShake_0008/handShake_0008_5.jpg,0,handShake
2,OF_train/handShake/handShake_0008/handShake_0008_0.jpg,0,handShake
3,OF_train/handShake/handShake_0008/handShake_0008_12.jpg,0,handShake
4,OF_train/handShake/handShake_0008/handShake_0008_4.jpg,0,handShake
5,OF_train/handShake/handShake_0008/handShake_0008_15.jpg,0,handShake
6,OF_train/handShake/handShake_0008/handShake_0008_6.jpg,0,handShake
7,OF_train/handShake/handShake_0008/handShake_0008_9.jpg,0,handShake
8,OF_train/handShake/handShake_0008/handShake_0008_11.jpg,0,handShake
9,OF_train/handShake/handShake_0008/handShake_0008_2.jpg,0,handShake
10,OF_train/handShake/handShake_0008/handShake_0008_3.jpg,0,handShake
11,OF_train/handShake/handShake_0008/handShake_0008_8.jpg,0,handShake
12,OF_train/handShake/handShake_0008/handShake_0008_10.jpg,0,handShake
13,OF_train/handShake/handShake_0008/handShake_0008_7.jpg,0,handShake
14,OF_train/handShake/handShake_0008/handShake_0008_1.jpg,0,handShake
15,OF_train/handShake/handShake_0008/handShake_0008_13.jpg,0,handShake
